melbourne,werribee,plumpton,berwick,officer,corio,sunbury,thalassery,caroline_springs,abbotsford,docklands,thornhill_park,marlo,harkness,rockbank,wyndham_vale,officer_south,shepparton,anglesea,brighton_east,highett,box_hill_north,highton,dinner_plain,hastings,drouin,horsham,edenhope,rupanyup,mooroolbark,myrtleford,mcloughlins_beach,geelong_west,torquay,mount_eliza,warragul,st_albans,gisborne,kingsville,lovely_banks,lake_tyers_beach,alfredton,wallan,south_yarra,emerald,canadian,blind_bight,bell_post_hill,venus_bay,deanside,korumburra,carrum_downs,baranduda,ormond,mambourin,wollert,sebastopol,bonbeach,armstrong_creek,slaty_creek,dandenong,inverloch,serpentine,kalkallo,kingsbury,niddrie,mornington,jan_juc,bentleigh_east,ballarat_central,fitzroy_north,invermay_park,creswick,cobains,stratford,cranbourne_east,sunshine,creswick_north,yarrawonga,quarry_hill,ocean_grove,melton_west,clyde_north,eynesbury,glomar_beach,nar_nar_goon_north,kennington,traralgon,cranbourne_west,rowville,churchill,jindivick,portland,st_kilda,kilmore,whittlesea,junction_village,charlemont,tarneit,norlane,port_welshpool,long_gully,manor_lakes,rosebud,pakenham,wonthaggi,kangaroo_flat,blairgowrie,heyfield,loch_sport,doncaster,numurkah,cheltenham,burwood_east,point_cook,hamlyn_heights,camberwell,melton,chanute,bundoora,yea,paynesville,blackburn,longford,heidelberg,weir_views,kyneton,hampton_park,wheelers_hill,malvern_east,bayswater,beechworth,portland_west,maryborough,east_bendigo,tarwin_lower,curlewis,mildura,poowong_north,west_wodonga,kurunjang,eastwood,murrindal,frankston_south,mount_martha,benalla,merrijig,lara,aireys_inlet,newcomb,cranbourne,bonnie_brook,halls_gap,belmont,bell_park,lancefield,fraser_rise,coffeyville,birchip,leopold,leongatha,casterton,charlotte,donnybrook,newborough,footscray,truganina,woodstock,altona,eaglehawk,echuca,mount_duneed,delacombe,beveridge,bannockburn,nyora,clyde,mooroopna,frankston,diggers_rest,portarlington,clunes,botanic_ridge,cranbourne_south,mount_camel,islamabad,clayton_south,rainbow,port_albert,cranbourne_north,endeavour_hills,metung,kadnook,karachi,junortoun,cape_woolamai,murrayville,spring_gully,strathtulloh,melton_south,colac,huntly,hotham_heights,red_cliffs,alexandra,darley,trafalgar,brookfield,whorouly,mount_waverley,southbank,new_gisborne,craigieburn,hawthorn,wodonga,lake_bunga,johnsonville,morwell,altona_meadows,inglewood,doreen,euroa,epsom,brunswick_east,gisborne_south,capel_sound,keilor_downs,dingley_village,parkville,south_melbourne,croydon,sawmill_settlement,seymour,guildford,preston,bacchus_marsh,castlemaine,templestowe,rye,nicholson,nhill,glenaladale,ironbark,mansfield,maddingley,golden_beach,langsborough,kyabram,moe,portland_north,lakes_entrance,sassafras,mount_cottrell,nerrina,woodend,california_gully,mordialloc,warburton,wangaratta,boronia,woorndoo,golden_square,bayswater_north,teesdale,yarram,whittington,avonsleigh,coronet_bay,hillside,hamilton,waurn_ponds,chicago,keilor_park,noradjuha,badger_creek,wantirna_south,point_lonsdale,ivanhoe,ballarat_east,longerenong,moolap,maiden_gully,saint_leonards,forest_hill,liège,clifton_springs,marengo,cobram,mickleham,broadford,keysborough,strathbogie,coburg,caulfield_south,broadmeadows,eltham_north,nungurner,mulgrave,knoxfield,cann_river,cheshunt,carlton,moonee_ponds,newington,cowes,brunswick,byrock,nagambie,omeo,doncaster_east,oxley,maffra,pascoe_vale,grovedale,jackass_flat,majorca,ferntree_gully,skipton,west_footscray,heathcote,ballan,kensington,san_remo,yelta,reservoir,waaia,landsborough,smythes_creek,doveton,ashwood,springvale,north_warrandyte,wantirna,tecoma,baddaginnie,pascoe_vale_south,glen_waverley,box_hill,diamond_creek,fairy_dell,west_bendigo,balwyn_north,longwarry,welshpool,cockatoo,east_melbourne,port_franklin,hughesdale,macedon,east_geelong,donald,seaholme,traralgon_south,dromana,ascot_vale,robinvale,drysdale,natimuk,kyvalley,elmore,ballarat_north,macarthur,eildon,romsey,avenel,maribyrnong,irymple,strathfieldsaye,port_melbourne,flynn,mount_beauty,hampton,greta_west,noble_park,swan_hill,caulfield_north,foster,sale,belgrave_heights,barrie,beaconsfield,lyndhurst,indigo_valley,brighton,wendouree,cabarita,flora_hill,mernda,winchelsea,little_river,saint_albans_park,invermay,waterways,saint_arnaud,north_bendigo,williamstown_north,hoppers_crossing,moolort,alma,eaglemont,collingwood,heidelberg_heights,carrajung,rawson,bendigo,newtown,rippleside,warrnambool,vermont,barwon_heads,murtoa,essendon_north,hansonville,mountain_view,lucas
473200.0,511600.0,,506750.0,542000.0,520773.0,468600.0,,,,,,,,544767.0,599990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665631.0,,,,,403500.0,,,,514125.0,,,,,,,,,,,,,,,,,,,,759000.0,,,,873000.0,,,,,,,,,,,,,,582000.0,,678100.0,,,,,,5800900.0,,,,,,,,,,,,,,,,,,,,,321000.0,,,,,,,,,,,,,,,,,,,,,,524822.0,,,,,,,,,527100.0,,,,,,,,,624394.0,547500.0,,,,,596005.0,,486548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12832273750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471600.0,511600.0,,845400.0,625190.0,603940.0,577350.0,,,,,,,,486243.0,625100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604700.0,,,,,496000.0,,,,553000.0,,,,,,,,,,,,,,,,,,,,205000.0,,,,837750.0,,,,,,,,,,,,,,811600.0,,573820.0,,,,,,579100.0,,,,,,,,,,,,,,,,,,,,,343000.0,,,,,,,,,,,,,,,,,,,,,,453294.0,,,,,,,,,610000.0,,,,,,,,,821927.0,539485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12542267000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777500.0,529960.0,,545700.0,563900.0,555248.0,853818.0,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561360.0,,,,,,,,,602000.0,,,,,,,,,,,,,,,,,,,,,,,,744000754000.0,,,,,,,,,,,,,,699790.0,,427900.0,,,,,,525000.0,,,,,,,,,,,,,,,,,,,,,336000.0,,,,,,,,,,,,,,,,,,,,,,376698.0,,,,,,,,,496600.0,,,,,,,,,787238.0,529000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11942263500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755000.0,299000.0,,768048.0,503900.0,544426.0,469350.0,,,,,,,,,865000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619600.0,,,,,,,,,555000.0,,,,,,,,,,,,,,,,,,,,,,,,641000651000.0,,,,,,,,,,,,,,647790.0,,459900.0,,,,,,480000.0,,,,,,,,,,,,,,,,,,,,,433916.0,,,,,,,,,,,,,,,,,,,,,,604685.0,,,,,,,,,554000.0,,,,,,,,,529964.0,509000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11252254500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635000.0,315000.0,,809000.0,703500.0,602097.0,526448.0,,,,,,,,,649400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488700.0,,,,,,,,,656000.0,,,,,,,,,,,,,,,,,,,,,,,,667000677000.0,,,,,,,,,,,,,,659790.0,,541779.0,,,,,,665000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526900.0,,,,,,,,,605000.0,,,,,,,,,593500.0,741300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11552251250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030500.0,475000.0,,874190.0,630000.0,,451900.0,,,,,,,,,455500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540000.0,,,,,,,,,555000.0,,,,,,,,,,,,,,,,,,,,,,,,503800.0,,,,,,,,,,,,,,607900.0,,457391.0,,,,,,1350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579900.0,,,,,,,,,615500.0,,,,,,,,,587000.0,711400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11252249500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618000.0,389000.0,,789754.0,648000.0,,582900.0,,,,,,,,,547914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494000.0,,,,,,,,,553000.0,,,,,,,,,,,,,,,,,,,,,,,,668300.0,,,,,,,,,,,,,,855980.0,,543332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557900.0,,,,,,,,,565000.0,,,,,,,,,540000.0,665000675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10132232750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752600.0,389000.0,,637448.0,554000.0,,479900.0,,,,,,,,,567296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673178.0,,,,,,,,,630000.0,,,,,,,,,,,,,,,,,,,,,,,,771500.0,,,,,,,,,,,,,,820605.0,,573085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710900.0,,,,,,,,,490100.0,,,,,,,,,540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10422231950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790000.0,529990.0,,793500.0,527700.0,,535900.0,,,,,,,,,544696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456555.0,,,,,,,,,522451.0,,,,,,,,,,,,,,,,,,,,,,,,378000.0,,,,,,,,,,,,,,,,653900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782400.0,,,,,,,,,,,,,,,,,,420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10422224500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616800.0,389000.0,,909900.0,605748.0,,670800.0,,,,,,,,,535096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428950.0,,,,,,,,,630816.0,,,,,,,,,,,,,,,,,,,,,,,,593300.0,,,,,,,,,,,,,,,,433195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10022224500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708750.0,496699.0,,505500.0,335000.0,,,,,,,,,,,623893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603766.0,,,,,,,,,371924.0,,,,,,,,,,,,,,,,,,,,,,,,595850.0,,,,,,,,,,,,,,,,410306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9932219500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5995000.0,487195.0,,505500.0,335000.0,,,,,,,,,,,559132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466999.0,,,,,,,,,,,,,,,,,,,,,,,,499550.0,,,,,,,,,,,,,,,,585050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10142219500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725000.0,460000.0,,778300.0,335000.0,,,,,,,,,,,526696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593381.0,,,,,,,,,,,,,,,,,,,,,,,,652050.0,,,,,,,,,,,,,,,,532758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9172217000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747000.0,345000.0,,549550.0,345000.0,,,,,,,,,,,475895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442701.0,,,,,,,,,,,,,,,,,,,,,,,,688120.0,,,,,,,,,,,,,,,,489767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9562214250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687000.0,738400.0,,751800.0,517900.0,,,,,,,,,,,485626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468490.0,,,,,,,,,,,,,,,,,,,,,,,,533000.0,,,,,,,,,,,,,,,,618417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9282211250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775000.0,553600.0,,535909.0,497000.0,,,,,,,,,,,476636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539640.0,,,,,,,,,,,,,,,,,,,,,,,,997600.0,,,,,,,,,,,,,,,,576690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8932208250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701000.0,456895.0,,,477200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,,,,,,,,,,,,,,,,,776500.0,,,,,,,,,,,,,,,,680625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8932207950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442000.0,,,,477200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8812207500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535000.0,,,,576500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8402207500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431000.0,,,,576500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692206950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714000.0,,,,493900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8562205950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942000.0,,,,681900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102204950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529000.0,,,,590500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8322199950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,534700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192199950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,533200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8402199950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
